# DCGM field set for the engine-battle benchmark.
#
# Passed to BOTH sides:
#   1. dcgm-exporter  -f /etc/dcgm-exporter/custom.csv   (which fields it scrapes)
#   2. aiperf         --gpu-telemetry bench/dcgm_metrics.csv  (so it maps the extra fields)
#
# The first 11 rows are aiperf's built-in DCGM_TO_FIELD_MAPPING (gpu_telemetry/constants.py:57-68).
# Everything below the first divider is registered as a CUSTOM metric by
# MetricsConfigLoader.build_custom_metrics_from_csv (gpu_telemetry/metrics_config.py:172-240),
# which aiperf then merges into DCGM_TO_FIELD_MAPPING at bootstrap (common/bootstrap.py:161-167).
#
# Format: DCGM_FIELD, prometheus_type, description (in UNIT)
#
# The UNIT in parentheses is PARSED, not decorative - _infer_unit_from_help() reads it to pick the
# metric unit. Recognised: W, %, percent, GB/MB/KB, GiB/MiB/KiB, MHz/GHz, C/celsius, count, us/ms/s,
# mJ/J. Anything else silently falls back to COUNT, which is why the byte-rate rows below are
# declared as count and converted at report time rather than mislabelled.
#
# Internal field names are derived, not chosen: DCGM_FI_DEV_<X> / DCGM_FI_PROF_<X> becomes
# nvidia_<x lowercased>. So DCGM_FI_DEV_SM_CLOCK is queryable as nvidia_sm_clock.
DCGM_FI_DEV_POWER_USAGE,              gauge, Power draw (in W)
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption since boot (in mJ)
DCGM_FI_DEV_GPU_UTIL,                 gauge, GPU utilization (in %)
DCGM_FI_DEV_MEM_COPY_UTIL,            gauge, Memory utilization (in %)
DCGM_FI_DEV_FB_USED,                  gauge, Framebuffer memory used (in MiB)
DCGM_FI_DEV_GPU_TEMP,                 gauge, GPU temperature (in C)
DCGM_FI_DEV_ENC_UTIL,                 gauge, Encoder utilization (in %)
DCGM_FI_DEV_DEC_UTIL,                 gauge, Decoder utilization (in %)
# DCGM_FI_PROF_SM_ACTIVE - DEAD ON THIS CARD, see the DCP note at the bottom. Left commented rather
# than deleted because it IS one of aiperf's built-in 11 (constants.py:65), so aiperf maps it to
# nvidia_sm_utilization regardless of this file; that metric is simply always empty here.
# DCGM_FI_PROF_SM_ACTIVE,             gauge, Ratio of SMs active
DCGM_FI_DEV_XID_ERRORS,               gauge, Last XID error code
DCGM_FI_DEV_POWER_VIOLATION,          counter, Throttling duration due to power violation (in us)
# ---- clocks and memory temp: not available via pynvml; the original reason for this file ----
DCGM_FI_DEV_SM_CLOCK,                 gauge, SM clock frequency (in MHz)
DCGM_FI_DEV_MEM_CLOCK,                gauge, Memory clock frequency (in MHz)
DCGM_FI_DEV_MEMORY_TEMP,              gauge, Memory temperature (in C)
DCGM_FI_DEV_FB_FREE,                  gauge, Framebuffer memory free (in MiB)
DCGM_FI_DEV_THERMAL_VIOLATION,        counter, Throttling duration due to thermal constraints (in us)
# ---- WHY was the clock low? The violation family, completed ----
# POWER_VIOLATION and THERMAL_VIOLATION above answer two of the reasons; these are the rest.
# Reading a clock drop without these is guesswork: a card pinned at its POWER cap and a card
# pinned at a THERMAL limit look identical in the SM_CLOCK trace alone.
DCGM_FI_DEV_BOARD_LIMIT_VIOLATION,    counter, Throttling duration due to board limit (in us)
DCGM_FI_DEV_RELIABILITY_VIOLATION,    counter, Throttling duration due to reliability limit (in us)
DCGM_FI_DEV_SYNC_BOOST_VIOLATION,     counter, Throttling duration due to sync boost (in us)
DCGM_FI_DEV_LOW_UTIL_VIOLATION,       counter, Throttling duration due to low utilization (in us)
# ---- NOT here: the card's own thermal/power limits ----
